	node_0	node_1	node_10	node_11	node_12	node_13	node_14	node_15	node_16	node_17	node_18	node_19	node_2	node_20	node_21	node_22	node_23	node_24	node_3	node_4	node_5	node_6	node_7	node_8	node_9
node_0	30	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	1	0	0	0	4	0	0
node_1	0	100	0	4	0	0	0	0	33	0	0	0	0	0	0	0	40	0	0	0	0	0	0	0	0
node_2	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0
node_3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0	0	0	0	0	0
node_4	0	0	0	2	3	0	16	0	0	0	0	0	17	0	0	0	11	0	0	100	0	0	0	9	0
node_5	0	0	0	8	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30	0	0	0	0
node_6	0	0	0	0	0	0	0	0	0	0	0	5	72	0	0	0	0	0	0	0	0	100	0	0	0
node_7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0
node_8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0
node_9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
node_10	0	0	45	0	0	0	6	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0
node_11	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
node_12	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
node_13	0	0	0	0	0	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
node_14	0	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
node_15	0	0	0	0	0	1	0	100	30	0	0	0	0	0	0	0	25	0	2	0	0	0	0	0	0
node_16	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
node_17	0	0	0	0	0	0	0	0	2	30	0	0	4	0	0	0	2	0	1	0	0	0	0	0	0
node_18	0	0	0	1	0	0	1	0	1	0	100	0	2	0	0	0	0	0	0	0	0	0	2	0	0
node_19	0	0	0	0	0	0	0	0	0	0	0	82	0	0	0	0	0	0	0	0	0	0	0	0	0
node_20	0	0	0	0	0	0	0	0	19	0	0	2	37	100	0	0	0	0	0	0	0	0	0	0	0
node_21	0	0	0	0	2	0	3	0	0	0	0	0	0	0	30	0	0	0	0	0	0	0	0	4	0
node_22	0	0	0	0	0	0	0	0	24	0	0	4	0	0	0	100	42	0	7	0	0	0	0	0	0
node_23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	0	0	0	0	0	0	0	0
node_24	0	0	0	4	0	0	0	0	0	0	0	1	22	0	0	0	15	100	2	0	0	0	0	14	0
